x1,x2,x3,x4
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
0.00010268,-0.0,7.423e-5,0.0
0.00512153,-0.0,0.00657252,0.0
0.01580296,-0.0,0.05470166,0.0
0.04112625,4.84e-6,0.14571903,0.00013323
0.14874817,0.01481545,0.27317009,0.01522911
0.25966723,0.07713865,0.38527281,0.06410126
0.37078936,0.14177441,0.4972672,0.15618103
0.45447085,0.20203261,0.57945854,0.24489005
0.51703638,0.24754294,0.62044109,0.30664971
0.5429499,0.2646654,0.61875134,0.33566914
0.52876914,0.24618371,0.5843553,0.31909699
0.46377002,0.20545509,0.52337412,0.26960449
0.36370814,0.14700409,0.44110099,0.19217745
0.25812487,0.06261301,0.34752077,0.09876071
0.141608,0.00374335,0.24670936,0.03296743
0.0483037,1.0e-8,0.14535062,0.00298629
0.01538012,-0.0,0.06309525,4.1e-7
0.00530858,-0.0,0.00928994,0.0
3.015e-5,-0.0,3.073e-5,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
9.554e-5,-0.0,9.721e-5,0.0
0.00453761,-0.0,0.00826534,0.0
0.01715593,-0.0,0.05225019,0.0
0.04968767,2.5e-6,0.13445165,0.00013341
0.16175447,0.00996801,0.24875018,0.01098985
0.26447734,0.07302638,0.34731376,0.05727461
0.38208366,0.14691058,0.4483947,0.16120041
0.46847322,0.21035649,0.52480354,0.24689932
0.51193424,0.24763734,0.56504502,0.30846399
0.51173926,0.26002151,0.57141696,0.33176742
0.48831,0.24349799,0.54752665,0.32214686
0.42495686,0.20510369,0.50285282,0.26492286
0.34559716,0.14137988,0.43468627,0.18401792
0.24610089,0.06090317,0.34546186,0.09210845
0.13009355,0.00273509,0.2500848,0.02866032
0.03988254,0.0,0.14617962,0.00265062
0.01494318,-0.0,0.06409267,7.2e-7
0.00472555,-0.0,0.00975654,0.0
3.468e-5,-0.0,3.302e-5,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
0.00011126,-0.0,0.00011513,0.0
0.00539982,-0.0,0.00965426,0.0
0.01846891,-0.0,0.0605376,0.0
0.04622401,1.22e-6,0.15210686,0.00014461
0.16596006,0.00962544,0.28024519,0.01070455
0.29962666,0.09060705,0.39153636,0.05004911
0.42665594,0.19485578,0.50173221,0.14057193
0.53226716,0.28367277,0.58493285,0.22073657
0.58785662,0.33871243,0.62175306,0.27189178
0.59142286,0.35462097,0.62329867,0.28614771
0.55692399,0.33568486,0.58787643,0.26518203
0.48933326,0.28266354,0.52783907,0.21879223
0.39689307,0.19343137,0.45307128,0.15145215
0.28108339,0.07809412,0.35832168,0.07773169
0.15213953,0.0024164,0.25517479,0.02846344
0.04931191,-0.0,0.15199931,0.00287189
0.01700345,-0.0,0.06607805,1.35e-6
0.00517819,-0.0,0.00940688,0.0
2.63e-5,-0.0,3.318e-5,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
4.609e-5,-0.0,0.00010531,0.0
0.0033907,-0.0,0.0085523,0.0
0.01436436,-0.0,0.05745661,0.0
0.0428928,5.1e-7,0.15251027,0.00026899
0.16704395,0.00808985,0.2837886,0.00900011
0.2826382,0.07532722,0.39641348,0.04676215
0.40531791,0.15173003,0.50954775,0.11666683
0.50423263,0.21456626,0.6007745,0.17864225
0.54711075,0.2523978,0.64889926,0.22258727
0.56036474,0.26704771,0.65413494,0.24613383
0.53227865,0.25436061,0.62682244,0.23105506
0.46733206,0.20515468,0.57039249,0.19332495
0.37548853,0.13434443,0.48518303,0.13373586
0.26395476,0.04679123,0.38845298,0.07056827
0.13629134,0.00146943,0.27713912,0.02854578
0.03899437,-0.0,0.16014327,0.0023092
0.01207603,-0.0,0.06938118,6.1e-7
0.00323383,-0.0,0.01116041,0.0
2.604e-5,-0.0,3.529e-5,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
4.101e-5,-0.0,0.00010428,0.0
0.00312563,-0.0,0.00881693,0.0
0.01394595,-0.0,0.06206716,0.0
0.0387139,1.1e-7,0.15965192,0.00031483
0.15286977,0.00387664,0.29329737,0.01323638
0.27895835,0.04776128,0.4084515,0.05625813
0.40601225,0.10675072,0.5178941,0.134881
0.50680322,0.16039117,0.6070284,0.19914847
0.57616295,0.19028509,0.65270012,0.25000868
0.60487461,0.20212415,0.65193656,0.27463445
0.58887108,0.18605275,0.62262714,0.26665557
0.52761346,0.15179943,0.5602822,0.23029812
0.42892565,0.09832091,0.48366297,0.16661712
0.3018267,0.03137061,0.38144708,0.09474578
0.15688564,0.0005974,0.26637153,0.03860434
0.04677549,-0.0,0.1552796,0.00202792
0.01492158,-0.0,0.06673256,1.53e-6
0.00531799,-0.0,0.00981152,0.0
3.629e-5,-0.0,3.45e-5,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
9.092e-5,-0.0,0.00010779,0.0
0.0038631,-0.0,0.00856509,0.0
0.01356257,-0.0,0.05899174,0.0
0.04319006,5.0e-8,0.1491379,0.00046486
0.16853924,0.00249097,0.27251139,0.01805287
0.30717075,0.02899257,0.37932188,0.06520452
0.44075168,0.08235595,0.48960491,0.15496882
0.53894302,0.13607583,0.56545594,0.23317267
0.59110028,0.18398236,0.6105719,0.28341488
0.61499456,0.20435653,0.61206226,0.30646113
0.59423813,0.20097574,0.58946593,0.27957357
0.52801877,0.16554525,0.53583541,0.229247
0.42572486,0.10613717,0.46590995,0.163158
0.30486419,0.02510534,0.36621653,0.09314204
0.15106706,0.00052136,0.26325668,0.03891937
0.04537518,-0.0,0.15733238,0.00346312
0.01026413,-0.0,0.06872481,3.01e-6
0.00404221,-0.0,0.01099374,0.0
3.338e-5,-0.0,3.495e-5,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
5.052e-5,-0.0,0.00010214,0.0
0.00149769,-0.0,0.00918886,0.0
0.00746137,-0.0,0.06161638,0.0
0.03316689,0.0,0.15346357,0.00047303
0.15620558,0.00225241,0.27812288,0.02521516
0.3022685,0.03276577,0.39541934,0.08877957
0.43340706,0.08676144,0.50936456,0.17486513
0.52453426,0.13722948,0.59271968,0.25751078
0.57848362,0.16466068,0.63606279,0.31139382
0.57782939,0.17821693,0.63989799,0.33666522
0.5431326,0.17056064,0.61154412,0.32026714
0.46739759,0.1359888,0.55018449,0.27797701
0.3749104,0.08320265,0.46861349,0.20689192
0.26298081,0.0265869,0.37458389,0.12361317
0.13195769,0.00060717,0.26583404,0.05367041
0.04328426,-0.0,0.15787782,0.00648255
0.01166071,-0.0,0.07100015,5.95e-6
0.00327219,-0.0,0.01000772,0.0
2.534e-5,-0.0,2.995e-5,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0.0
